Model,RMSE (°C),MAE (°C),R² Score,Max Error (°C),Bias (°C)
LightGBM,0.7847091635675498,0.5686489774171924,0.9713155290621704,5.089139073256142,0.027714792411473742
GRU,26.44529139441422,26.164615613500626,-31.578126794742992,38.314306499999994,26.164615613500626
Hybrid (Ridge),0.7874486502483632,0.572490472140305,0.9711148995914145,5.054451398318651,0.046970805513318434
