model,test_rmse,test_mae,test_r2
LightGBM,0.7847091635675498,0.5686489774171924,0.9713155290621704
GRU,1.236624035748807,0.8958326801377258,0.928763140925632
Ridge_Ensemble,0.7875211846231319,0.5729631080830019,0.9711095779512195
